Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
50000,3.0,Semi-Furnished,Bachelors/Family,8,3,Kolkata,Udita Apartments,12.0
40000,3.0,Furnished,Bachelors,7,3,Kolkata,Avidipta,27.0
50000,3.0,Furnished,Bachelors/Family,6,3,Kolkata,Avidipta,17.0
36000,2.0,Furnished,Bachelors/Family,14,2,Kolkata,Hiland Park,22.0
20500,2.0,Semi-Furnished,Bachelors,8,3,Kolkata,Rajwada Springfield,10.0
40000,2.0,Furnished,Bachelors,0,2,Kolkata,Upohar The Condoville,35.0
45000,2.0,Semi-Furnished,Bachelors/Family,16,3,Kolkata,South City,35.0
35000,2.0,Semi-Furnished,Family,8,3,Kolkata,Elita Garden Vista Phase 2,25.0
23000,2.0,Semi-Furnished,Bachelors,1,2,Kolkata,Dakhini Phase 1,7.0
22000,2.0,Furnished,Bachelors/Family,12,2,Kolkata,Avidipta,17.0
69999,3.0,Semi-Furnished,Bachelors/Family,18,3,Kolkata,Bengal Peerless Avidipta Phase 2,46.0
34000,2.0,Furnished,Bachelors/Family,10,2,Kolkata,Udita Apartments,18.0
35000,2.0,Furnished,Bachelors/Family,13,2,Kolkata,Avidipta,18.0
85000,3.0,Semi-Furnished,Bachelors/Family,27,3,Kolkata,Urbana NRI Complex,40.0
25000,2.0,Unfurnished,Bachelors/Family,13,3,Kolkata,Shapoorji Pallonji Housing Complex,14.0
75000,3.0,Semi-Furnished,Bachelors/Family,8,3,Kolkata,One Rajarhat,25.0
14000,2.0,Semi-Furnished,Bachelors/Family,4,3,Kolkata,Rajarhat,4.0
45000,3.0,Semi-Furnished,Bachelors,0,3,Kolkata,Ideal Villas,35.0
90000,3.0,Semi-Furnished,Bachelors/Family,24,3,Kolkata,Urbana NRI Complex,35.0
20000,2.0,Unfurnished,Bachelors/Family,1,3,Kolkata,Modern Park Santoshpur,3.0
32000,2.0,Semi-Furnished,Family,0,2,Kolkata,Diamond City North,3.0
6000,2.0,Unfurnished,Bachelors,0,2,Kolkata,Merlin Uttara,3.0
11000,1.0,Unfurnished,Bachelors,1,2,Kolkata,Madhyamgram Kolkata,3.0
40000,2.0,Unfurnished,Family,4,3,Kolkata,PS ONE10,20.0
15000,2.0,Unfurnished,Bachelors/Family,2,2,Kolkata,Rabindrapally Kestopur,4.0
30000,2.0,Semi-Furnished,Bachelors/Family,4,3,Kolkata,Jeet Sunshine,4.0
10000,1.0,Unfurnished,Bachelors,0,2,Kolkata,Purbasha Apartment,4.0
20000,2.0,Semi-Furnished,Bachelors/Family,3,2,Kolkata,Kolkata,4.0
29000,3.0,Furnished,Family,7,3,Chennai,Kotturpuram,18.0
60000,2.0,Furnished,Bachelors,14,3,Chennai,Anna Nagar,16.0
15000,2.0,Semi-Furnished,Bachelors/Family,0,2,Chennai,Thanikachalam Nagar,11.0
100000,3.0,Semi-Furnished,Bachelors/Family,3,3,Chennai,Luz,11.0
110000,3.0,Unfurnished,Family,0,3,Chennai,East Coast Road Chennai,16.0
100000,3.0,Semi-Furnished,Family,9,3,Chennai,Muthukadu,16.0
45000,3.0,Furnished,Bachelors/Family,2,3,Chennai,Pammal,2.0
60000,3.0,Unfurnished,Bachelors/Family,18,3,Chennai,Sholinganallur,22.0
29000,3.0,Semi-Furnished,Family,3,3,Chennai,Kotturpuram,4.0
7000,1.0,Unfurnished,Bachelors/Family,4,2,Chennai,Thazhambur,6.0
11000,2.0,Unfurnished,Bachelors,2,2,Chennai,Kundrathur,3.0
16000,2.0,Unfurnished,Bachelors/Family,1,2,Chennai,Kolathur,2.0
75000,3.0,Unfurnished,Bachelors,1,3,Chennai,Anna Nagar,3.0
37000,3.0,Semi-Furnished,Bachelors,1,3,Chennai,Mogappair Chennai,2.0
27000,4.0,Semi-Furnished,Bachelors/Family,1,3,Chennai,Porur Chennai,2.0
16000,2.0,Unfurnished,Bachelors,1,2,Chennai,Pattara Vakkam Chennai,2.0
25000,3.0,Unfurnished,Bachelors,13,3,Chennai,Old Mahabalipuram Road Chennai,19.0
20000,2.0,Unfurnished,Bachelors,0,2,Chennai,BB Road,4.0
25000,3.0,Semi-Furnished,Bachelors,1,3,Chennai,New Perungalathur,4.0
20000,2.0,Semi-Furnished,Bachelors/Family,0,2,Chennai,Pallikaranai Chennai,3.0
40000,3.0,Furnished,Bachelors,2,3,Chennai,Sholinganallur,3.0
50000,2.0,Unfurnished,Bachelors,3,3,Chennai,Besant Nagar,4.0
17000,2.0,Semi-Furnished,Bachelors/Family,0,1,Chennai,Thoraipakkam Chennai,1.0
110000,3.0,Semi-Furnished,Bachelors/Family,0,3,Chennai,Kanathur Chennai,1.0
3500,1.0,Unfurnished,Bachelors/Family,1,1,Chennai,Poonamallee Avadi High Road Chennai,1.0
60000,3.0,Unfurnished,Bachelors/Family,4,3,Chennai,Nandanam,16.0
16000,1.0,Semi-Furnished,Bachelors/Family,1,1,Chennai,Ashok Nagar,2.0
50000,3.0,Unfurnished,Bachelors,0,3,Chennai,Ashok Brindavan Chennai,16.0
18500,2.0,Semi-Furnished,Family,0,2,Chennai,Jawahar Nagar Perambur Chennai,16.0
29000,4.0,Furnished,Bachelors/Family,2,3,Chennai,East Coast Road,16.0
15000,2.0,Unfurnished,Bachelors,4,3,Patna,Danapur Khagaul Road,4.0
12000,1.0,Semi-Furnished,Bachelors,2,3,Patna,Mahesh Nagar,2.0
10000,2.0,Unfurnished,Bachelors,3,3,Patna,Winsome Vatika,8.0
10000,2.0,Furnished,Bachelors/Family,3,2,Patna,Mahavir Colony,3.0
15000,2.0,Furnished,Bachelors/Family,0,2,Patna,Phulwari Sharif Patna,5.0
22000,2.0,Unfurnished,Bachelors,5,3,Patna,Patna,5.0
17000,2.0,Semi-Furnished,Bachelors,2,3,Patna,Kankarbagh,3.0
21000,2.0,Furnished,Bachelors/Family,3,2,Patna,Mundeshwary Enclave,6.0
16000,2.0,Semi-Furnished,Bachelors,4,3,Patna,Patna,5.0
9000,1.0,Unfurnished,Bachelors,1,2,Patna,Hanuman Nagar Patna,3.0
14500,2.0,Semi-Furnished,Bachelors/Family,0,2,Patna,Gardanibagh Patna,4.0
29000,3.0,Semi-Furnished,Bachelors/Family,0,3,Patna,Rukanpura Patna,4.0
15000,2.0,Semi-Furnished,Bachelors/Family,2,3,Patna,Jaganpura,4.0
9500,2.0,Unfurnished,Bachelors,1,3,Patna,Beur Patna,4.0
16700,2.0,Semi-Furnished,Bachelors/Family,1,2,Patna,Agam Kuan,4.0
13000,2.0,Semi-Furnished,Bachelors/Family,0,2,Patna,Rajeev Nagar Patna,10.0
32000,3.0,Furnished,Bachelors,0,3,Patna,Khagaul Road Patna,10.0
35000,3.0,Semi-Furnished,Bachelors/Family,5,3,Patna,Danapur,10.0
35000,2.0,Furnished,Bachelors,3,3,Patna,Fraser Road,4.0
23000,2.0,Unfurnished,Bachelors,2,3,Patna,Saguna More,7.0
8500,2.0,Unfurnished,Bachelors,1,2,Patna,Sai Enclave,10.0
21000,2.0,Semi-Furnished,Bachelors,2,3,Patna,MEADOW GARDEN,5.0
27000,3.0,Unfurnished,Bachelors/Family,1,3,Patna,Patliputra Colony Patna,2.0
10000,1.0,Unfurnished,Bachelors/Family,2,2,Patna,Mithapur Patna,4.0
20000,2.0,Unfurnished,Bachelors,0,3,Patna,Patna,3.0
45000,3.0,Furnished,Bachelors/Family,0,3,Patna,New Patliputra Colony Patna,3.0
14500,2.0,Semi-Furnished,Bachelors/Family,3,3,Patna,Phulwari Sharif,3.0
17000,2.0,Unfurnished,Bachelors,3,3,Patna,Vanika Rupaspur,4.0
15000,1.0,Semi-Furnished,Bachelors/Family,2,2,Patna,Mahendru Patna,3.0
12000,1.0,Unfurnished,Bachelors/Family,2,2,Patna,Kankarbagh Patna,3.0
20000,3.0,Furnished,Bachelors,0,3,Bhopal,Jatkhedi Bhopal,2.0
20000,3.0,Semi-Furnished,Bachelors/Family,1,2,Bhopal,Sarv Dharam Society,2.0
20000,2.0,Unfurnished,Bachelors/Family,1,2,Bhopal,Shahpura Bhopal,1.0
